City,Median Income,State,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
Lansing,52849,Michigan,114688,11.3,80.2,177.0,671.4,"1,139.6","1,920.9",230.2,939.9,"3,290.7"
Livonia,38023,Michigan,96028,3.1,19.8,33.3,95.8,336.4,"1,667.2",208.3,152.0,"2,211.9"
Novi,26962,Michigan,55623,0.0,7.2,16.2,43.1,129.4,1684.6,70.1,66.5,1884.1
Southfield,35348,Michigan,72253,2.8,47.1,188.2,249.1,865.0,"2,117.6",545.3,487.2,"3,527.9"
Sterling Heights,52105,Michigan,129974,3.1,12.3,23.1,140,274.7,"1,584.2",124.6,178.5,"1,983.5"
Troy,34743,Michigan,81567,2.5,11.0,15.9,44.1,221.9,"1,687.0",131.2,73.6,"2,040.0"
Warren,54644,Michigan,134340,0.0,67.7,110.2,354.3,743.6,"1,525.2",550.1,532.2,"2,819"
Westland,35723,Michigan,83299,1.2,73.2,96.0,235.3,690.3,"1,806.7",396.2,405.8,"2,893.2"
Blaine,25670,Minnesota,57953,0.0,0.0,19.0,50.0,345.1,2874.7,96.6,0,3316.5
Bloomington,39370,Minnesota,84596,0.0,0.0,69.7,74.5,268.3,"3,437.5",91.0,0,"3,796.9"
Brooklyn Park,29325,Minnesota,77346,5.2,0.0,117.7,157.7,637.4,"2,587.1",174.5,0,"3,399.0"
Duluth,38843,Minnesota,86830,2.3,0.0,103.7,245.3,739.4,"3,509.2",198.1,0,"4,446.6"
Eagan,27978,Minnesota,65180,0.0,0.0,16.9,23.0,277.7,"1,996.0",67.5,0,"2,341.2"
Lakeville,25289,Minnesota,56805,0.0,0.0,1.8,15.8,216.5,1091.5,22.9,0,1330.9
Maple Grove,29987,Minnesota,62840,0.0,0.0,17.5,20.7,251.4,"1,745.7",39.8,0,"2,036.9"
Plymouth,29393,Minnesota,72020,0.0,0.0,19.4,26.4,358.2,"1,262.1",43.0,0,"1,663.4"
Rochester,51184,Minnesota,108582,1.8,0.0,50.7,95.8,455.9,"1,968.1",82,0,"2,505.9"
Woodbury,31280,Minnesota,63190,0.0,0.0,11.1,17.4,305.4,"1,910.1",76.0,0,"2,291.5"
Jackson,60636,Mississippi,175939,35.8,76.7,454.1,381.4,"2,344","3,585.3",645.7,948.1,"6,575"
Columbia,53894,Missouri,110646,2.7,37.1,146.4,244,708.6,"2,977.1",129.2,430.2,"3,814.9"
