states,cities,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
Pennsylvania,Allentown,119334,12.6,45.3,313.4,176,"1,045.8","2,503.1",308.4,547.2,"3,857.2"
Texas,Amarillo,196576,5.1,56.0,141.4,447.7,"1,061.7","3,145.9",320,650.1,"4,527.5"
New York,Amherst Town,117591,0.0,6.0,23.8,45.1,182,"1,709.3",31.5,74.8,"1,922.8"
Michigan,Ann Arbor,115008,0.9,30.4,43.5,122.6,620.8,"1,650.3",99.1,197.4,"2,370.3"
California,Antioch,105009,9.5,27.6,354.3,625.7,"1,658","1,828.4","1,043.7","1,017.1","4,530.1"
Colorado,Arvada,109029,0.0,20.2,26.6,98.1,357.7,"1,847.2",184.4,144.9,"2,389.3"
Georgia,Athens-Clarke County,117457,4.3,40.9,134.5,207.7,978.2,"2,732.9",206,387.4,"3,917.2"
Illinois,Aurora,199765,0.0,32.5,62.6,186.7,472.6,"1,249",63.1,281.8,"1,784.6"
Louisiana,Baton Rouge,231500,28.5,27.6,446.2,580.6,"1,652.7","3,348.2",208.2,"1,082.9","5,209.1"
Texas,Beaumont,120323,10.8,63.2,339.1,619.2,"1,519.2","3,089.2",231.9,"1,032.2","4,840.3"
Washington,Bellevue,126022,1.6,20.6,53.2,52.4,543.6,"2,102",134.1,127.8,"2,779.7"
California,Berkeley,114961,4.3,33.9,291.4,93.9,844.6,"3,552.5",557.6,423.6,"4,954.7"
Montana,Billings,106371,2.8,35.7,63.9,245.4,745.5,"3,391.9",386.4,347.8,"4,523.8"
Alabama,Birmingham,213266,31.4,71.3,460.9,954.2,"2,205.7","4,239.8",488.6,"1,517.8","6,934.1"
Idaho,Boise,211569,0.5,35.4,30.3,201.8,431.5,"2,019.2",74.2,268,"2,524.9"
Colorado,Boulder,100257,0.0,31.9,47.9,168.6,470.8,"2,331",127.7,248.4,"2,929.5"
Connecticut,Bridgeport,146030,15.1,265.7,415.0,509.5,943,"1,991.4",594.4,"1,205.2","3,528.7"
Oklahoma,Broken Arrow,100688,1.0,32.8,38.7,81.4,371.4,"1,686.4",114.2,153.9,"2,172.1"
Texas,Brownsville,181102,1.7,21.0,69.0,169.5,632.2,"3,857.5",113.7,261.2,"4,603.5"
California,Burbank,105057,1.9,22.8,105.7,100.9,364.6,"1,819",189.4,231.3,"2,373"
Massachusetts,Cambridge,106981,0.9,18.7,126.2,257.1,469.2,"2,320",100,402.9,"2,889.3"
Florida,Cape Coral,159625,2.5,10.0,25.7,105.2,538.8,"1,595.6",71.4,143.5,"2,205.8"
California,Carlsbad,107879,1.9,24.1,51.0,168.7,460.7,"1,356.1",138.1,245.6,"1,955"
Texas,Carrollton,124477,1.6,5.6,60.3,77.1,619.4,"1,894.3",229,144.6,"2,742.7"
North Carolina,Cary,141016,0.0,7.8,20.6,53.2,262.4,"1,046.7",44.7,81.6,"1,353.7"
Iowa,Cedar Rapids,128401,2.3,33.5,75.5,165.9,752.3,"2,728.2",197.8,277.3,"3,678.3"
Colorado,Centennial,104022,1.0,38.5,31.7,79.8,266.3,"1,043",74,150.9,"1,383.4"
Arizona,Chandler,242721,1.6,26.4,61.4,169.3,472.6,"2,129.2",105.5,258.7,"2,707.2"
South Carolina,Charleston,123856,9.7,15.3,84.0,130,302,"2,231.6",189.7,239,"2,723.3"
Virginia,Chesapeake,227531,5.3,15.8,88.8,258.9,454.4,"2,188.3",122.6,368.7,"2,765.3"
